# xyscan Version 4.3.0
# Date: Mon Dec 22 19:45:46 2025
# Scanned by: xzyu
# Source: //wsl.localhost/Ubuntu-20.04/home/xiaozhou/WorkSpace/NuclearModel/tglaubermc/runglauber_v3.3/BT/expData/NA49 158AGeV.png
# Comment: 
# Format: x y -dx +dx -dy +dy
-3.51669	0.408803	0	0	0.0586268	0.0586268	
-3.31653	0.377113	0	0	0.0480634	0.0480634	
-3.11638	0.371831	0	0	0.0443662	0.0443662	
-2.90752	0.359155	0	0	0.0401408	0.0401408	
-2.71606	0.382394	0	0	0.0359155	0.0359155	
-2.5159	0.405634	0	0	0.031162	0.031162	
-2.31574	0.419366	0	0	0.0237676	0.0237676	
-2.11733	0.447887	0	0	0.0211268	0.0211268	
-1.91717	0.447887	0	0	0.0174296	0.0174296	
-1.71701	0.455282	0	0	0.0184859	0.0184859	
-1.51685	0.443662	0	0	0.0211268	0.0211268	
-1.31669	0.408803	0	0	0.0179577	0.0179577	
-1.11653	0.350704	0	0	0.0137324	0.0137324	
-0.916377	0.296831	0	0	0.0158451	0.0158451	
-0.716218	0.228169	0	0	0.0137324	0.0137324	
-0.51606	0.205986	0	0	0.0301056	0.0301056	
# EoF
