# xyscan Version 4.3.0
# Date: Tue Jan  6 15:25:04 2026
# Scanned by: xzyu
# Source: //wsl.localhost/Ubuntu-20.04/home/xiaozhou/WorkSpace/NuclearModel/tglaubermc/runglauber_v3.3/BT/experimentData/raw/NA49 1999 proton dNdy.png
# Comment: 
# Format: x y -dx +dx -dy +dy
-0.597101	31.0064	0	0	0	0	
-0.596522	31.1435	0	0	0	0	
-0.596522	31.1006	0	0	5.39615	5.39615	
-0.595362	31.1606	0	0	5.26767	5.26767	
-0.4	28.3769	0	0	4.36831	4.36831	
-0.197101	27.7516	0	0	3.94004	3.94004	
0.00521739	26.6296	0	0	3.59743	3.59743	
0.20058	28.7623	0	0	3.21199	3.21199	
0.402899	30.8865	0	0	2.78373	2.78373	
0.605797	32	0	0	2.14133	2.14133	
0.8	34.6467	0	0	1.88437	1.88437	
1.0029	34.9893	0	0	1.54176	1.54176	
1.2058	36	0	0	1.54176	1.54176	
1.40174	35.5032	0	0	1.84154	1.84154	
1.60348	33.1135	0	0	1.54176	1.54176	
1.79884	28.8565	0	0	1.19914	1.19914	
2	24.9079	0	0	1.4561	1.4561	
2.2029	19.3576	0	0	1.15203	1.15203	
2.3971	18.1328	0	0	2.65525	2.65525	
# EoF
