# xyscan Version 4.3.0
# Date: Mon Dec 22 19:54:59 2025
# Scanned by: xzyu
# Source: //wsl.localhost/Ubuntu-20.04/home/xiaozhou/WorkSpace/NuclearModel/tglaubermc/runglauber_v3.3/BT/expData/NA49_158AGeV_projectile.png
# Comment: 
# Format: x y -dx +dx -dy +dy
-3.52762	0.121095	0	0	0.0588912	0.0588912	
-3.32082	0.131217	0	0	0.0478491	0.0478491	
-3.1249	0.160663	0	0	0.0441684	0.0441684	
-2.92136	0.177594	0	0	0.0404877	0.0404877	
-2.72327	0.227283	0	0	0.0358868	0.0358868	
-2.51864	0.271268	0	0	0.0312859	0.0312859	
-2.32272	0.302553	0	0	0.0239245	0.0239245	
-2.1181	0.34663	0	0	0.021164	0.021164	
-1.92	0.36034	0	0	0.0174833	0.0174833	
-1.71864	0.378928	0	0	0.0184035	0.0184035	
-1.52272	0.376167	0	0	0.0220842	0.0220842	
-1.32027	0.350495	0	0	0.0174833	0.0174833	
-1.12218	0.300713	0	0	0.0138026	0.0138026	
-0.918639	0.253232	0	0	0.0165631	0.0165631	
-0.720544	0.189004	0	0	0.0138026	0.0138026	
-0.521361	0.172441	0	0	0.0294456	0.0294456	
# EoF
